ジャンル,タイトル,出版社,著者,完結,巻数,ＩＳＢＮ,棚番,コメント,コミ№,冊数,連番,複数,ＣＮＯ,ジャンル,タイトル,副題,タイトルカナ,出版社,出版社カナ,著者,著者カナ,原作者,区分,シリーズ,雑誌名,完結,巻数,発売日,ＩＳＢＮ,ＩＳＢＮ１３,本体価格,雑誌コード,許諾日,終了日,許諾,販売ランク,ほんのきもち
B1,桐谷さん ちょっそれ食うんすか！？,双葉社,ぽんとごたんだ,,21,,,,130874,1,1,,130874,B1,桐谷さん ちょっそれ食うんすか！？,,キリタニサンチョッソレクウンスカ,双葉社,フタバシャ,ぽんとごたんだ,ポントゴタンダ,,,アクションコミックス,漫画アクション,連載中,1,2016/09/12,4-575-84847-6,9784575848472,620,50194-86,2016/10/12,,許諾,他,26331
B1,瞳ちゃんは人見知り,秋田書店,夏海ちょりすけ,,12,,,,144096,1,2,,144096,B1,瞳ちゃんは人見知り,,ヒトミチャンハヒトミシリ,秋田書店,アキタショテン,夏海ちょりすけ,ナツミチョリスケ,,,チャンピオンＲＥＤコミックス,,,1,2019/05/20,4-253-23951-X,9784253239516,600,44948-31,2019/06/20,,許諾,他,0
B1,願いを叶えてもらおうと悪魔を召喚したけど、可愛かったので結婚しました ～悪魔の新妻～,アース・スターエンターテイメント,となりける,,12,,,,151399,1,3,,151399,B1,願いを叶えてもらおうと悪魔を召喚したけど、可愛かったので結婚しました ～悪魔の新妻～,,ネガイヲカナエテモラオウトアクマヲショウカンシタケレドカワイカッタノデケッコンシマシタアクマノニイヅマ,アース・スターエンターテイメント,アーススターエンターテイメント,となりける,トナリケル,ｓｈｉｒｙｕ,原作,アース・スターコミックス,,,1,2020/12/11,4-8030-1471-X,9784803014716,600,202012-053,2021/07/28,,許諾,他,0
B1,Ｕｎｎａｍｅｄ Ｍｅｍｏｒｙ,ＫＡＤＯＫＡＷＡ（ＡＭＷ）,越水ナオキ,,10,,,,153001,1,4,,153001,B1,Ｕｎｎａｍｅｄ Ｍｅｍｏｒｙ,,アンネームドメモリー,ＫＡＤＯＫＡＷＡ（ＡＭＷ）,カドカワアスキーメディアワークス,越水ナオキ,コシミズナオキ,古宮九時,原作,電撃コミックスＮＥＸＴ,電撃大王,連載中,1,2021/04/09,4-04-913712-7,9784049137125,690,202104-052,2021/05/09,2027/04/08,許諾,他,0
B1,女装してめんどくさい事になってるネクラとヤンキーの両片想い,マッグガーデン,とおる,,15,,,,143074,1,5,,143074,B1,女装してめんどくさい事になってるネクラとヤンキーの両片想い,,ジョソウシテメンドクサイコトニナッテルネクラトヤンキーノリョウカタオモイ,マッグガーデン,マッグガーデン,とおる,トオル,,,ブレイドコミックスピクシブ,,,1,2019/02/09,4-8000-0829-8,9784800008299,600,53941-30,2019/03/09,,許諾,他,0
B1,異世界不倫２～導かれし人妻たちと不器用転生勇者～,小学館,いのまる,,9,,,,158099,1,6,,158099,B1,異世界不倫２～導かれし人妻たちと不器用転生勇者～,,イセカイフリン２,小学館,ショウガクカン,いのまる,イノマル,大井昌和,原作,夜サンデーＳＳＣ,,,1,2022/05/12,4-09-851135-5,9784098511358,650,58511-35,2022/06/12,,許諾,他,0
B1,性食鬼 Ａｌｉｅｎｓ Ｍｅｅｔ Ｇｉｒｌｓ,秋田書店,或十せねか,,7,,,,148709,1,7,,148709,B1,性食鬼 Ａｌｉｅｎｓ Ｍｅｅｔ Ｇｉｒｌｓ,,セイショクキエイリアンズミートガールズ,秋田書店,アキタショテン,或十せねか,アルトセネカ,稲光伸二,原作,ヤングチャンピオン・コミックス,,,1,2020/05/20,4-253-30101-0,9784253301015,630,56028-38,2020/06/20,,許諾,他,0
B1,リビルドワールド,ＫＡＤＯＫＡＷＡ（ＡＭＷ）,綾村切人,,16,,,,146855,1,8,,146855,B1,リビルドワールド,,リビルドワールド,ＫＡＤＯＫＡＷＡ（ＡＭＷ）,カドカワアスキーメディアワークス,綾村切人,アヤムラキリヒト,ナフセ,原作,電撃コミックスＮＥＸＴ,電撃マオウ,連載中,1,2019/12/27,4-04-912933-7,9784049129335,650,201912-134,2020/01/27,2028/12/26,許諾,他,0
B1,ダンプ・ザ・ヒール,小学館,原秀則,,5,,,,156933,1,9,,156933,B1,ダンプ・ザ・ヒール,,ダンプザヒール,小学館,ショウガクカン,原秀則,ハラヒデノリ,ダンプ松本・平塚雅人,原案,ビッグコミックス,ビッグコミック,連載中,1,2022/02/28,4-09-861249-6,9784098612499,591,58612-49,2022/03/28,,許諾,他,0
B1,三十路病の唄,芳文社,河上だいしろう,,7,,,,155519,1,10,,155519,B1,三十路病の唄,,ミソジビョウノウタ,芳文社,ホウブンシャ,河上だいしろう,カワカミダイシロウ,,,芳文社コミックス,,,1,2021/10/14,4-8322-3866-3,9784832238664,620,50531-78,2021/11/14,,許諾,他,0
