連番,登録ＣＤ,結果,快活並び,1巻ISBN,ＪＡＮ,コNo,ジャンル,タイトル,巻,完,出版社,著者,シリーズ,コメント
1,4-08-870205-0,,175,4-08-870205-0,9784088702056,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,1,,集英社,矢吹健太朗,ジャンプコミックス,
2,4-08-870264-6,,174,4-08-870205-0,9784088702643,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,2,,集英社,矢吹健太朗,ジャンプコミックス,
3,4-08-870341-3,,173,4-08-870205-0,9784088703411,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,3,,集英社,矢吹健太朗,ジャンプコミックス,
4,4-08-870394-4,,172,4-08-870205-0,9784088703947,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,4,,集英社,矢吹健太朗,ジャンプコミックス,
5,4-08-870487-8,,171,4-08-870205-0,9784088704876,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,5,,集英社,矢吹健太朗,ジャンプコミックス,
6,4-08-870559-9,,170,4-08-870205-0,9784088705590,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,6,,集英社,矢吹健太朗,ジャンプコミックス,
7,4-08-870654-4,,169,4-08-870205-0,9784088706542,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,7,,集英社,矢吹健太朗,ジャンプコミックス,
8,4-08-870790-7,,168,4-08-870205-0,9784088707907,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,8,,集英社,矢吹健太朗,ジャンプコミックス,
9,4-08-870865-2,,167,4-08-870205-0,9784088708652,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,9,,集英社,矢吹健太朗,ジャンプコミックス,
10,4-08-880051-6,,166,4-08-870205-0,9784088800516,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,10,,集英社,矢吹健太朗,ジャンプコミックス,
11,4-08-880160-1,,165,4-08-870205-0,9784088801605,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,11,,集英社,矢吹健太朗,ジャンプコミックス,
12,4-08-880231-4,,164,4-08-870205-0,9784088802312,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,12,,集英社,矢吹健太朗,ジャンプコミックス,
13,4-08-880410-4,,163,4-08-870205-0,9784088804101,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,13,,集英社,矢吹健太朗,ジャンプコミックス,
14,4-08-880469-4,,162,4-08-870205-0,9784088804699,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,14,,集英社,矢吹健太朗,ジャンプコミックス,
15,4-08-880589-5,,161,4-08-870205-0,9784088805894,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,15,,集英社,矢吹健太朗,ジャンプコミックス,
16,4-08-880729-4,,160,4-08-870205-0,9784088807294,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,16,,集英社,矢吹健太朗,ジャンプコミックス,
17,4-08-880828-2,,159,4-08-870205-0,9784088808284,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,17,,集英社,矢吹健太朗,ジャンプコミックス,
18,4-08-881053-8,,158,4-08-870205-0,9784088810539,102922,S1,ＴｏＬＯＶＥる－とらぶる－ ダークネス,18,完,集英社,矢吹健太朗,ジャンプコミックス,
19,4-06-512432-8,,1027,4-06-512432-8,9784065124321,140268,B1,はしっこアンサンブル,1,,講談社,木尾士目,アフタヌーンＫＣ,
20,4-06-514747-6,,1026,4-06-512432-8,9784065147474,140268,B1,はしっこアンサンブル,2,,講談社,木尾士目,アフタヌーンＫＣ,
21,4-06-516972-0,,1025,4-06-512432-8,9784065169728,140268,B1,はしっこアンサンブル,3,,講談社,木尾士目,アフタヌーンＫＣ,
22,4-06-518877-6,,1024,4-06-512432-8,9784065188774,140268,B1,はしっこアンサンブル,4,,講談社,木尾士目,アフタヌーンＫＣ,
23,4-06-520733-9,,1023,4-06-512432-8,9784065207338,140268,B1,はしっこアンサンブル,5,,講談社,木尾士目,アフタヌーンＫＣ,
24,4-06-522498-5,,1022,4-06-512432-8,9784065224984,140268,B1,はしっこアンサンブル,6,,講談社,木尾士目,アフタヌーンＫＣ,
25,4-06-524815-9,,1021,4-06-512432-8,9784065248157,140268,B1,はしっこアンサンブル,7,,講談社,木尾士目,アフタヌーンＫＣ,
26,4-06-527298-X,,1020,4-06-512432-8,9784065272985,140268,B1,はしっこアンサンブル,8,完,講談社,木尾士目,アフタヌーンＫＣ,
27,4-06-394992-3,,424,4-06-394992-3,9784063949926,116764,S1,ふらいんぐうぃっち,1,,講談社,石塚千尋,週マガＫＣ,
28,4-06-395095-6,,423,4-06-394992-3,9784063950953,116764,S1,ふらいんぐうぃっち,2,,講談社,石塚千尋,週マガＫＣ,
29,4-06-395363-7,,422,4-06-394992-3,9784063953633,116764,S1,ふらいんぐうぃっち,3,,講談社,石塚千尋,週マガＫＣ,
30,4-06-395635-0,,421,4-06-394992-3,9784063956351,116764,S1,ふらいんぐうぃっち,4,,講談社,石塚千尋,週マガＫＣ,
31,4-06-395790-X,,420,4-06-394992-3,9784063957907,116764,S1,ふらいんぐうぃっち,5,,講談社,石塚千尋,週マガＫＣ,
32,4-06-510183-2,,419,4-06-394992-3,9784065101834,116764,S1,ふらいんぐうぃっち,6,,講談社,石塚千尋,週マガＫＣ,
33,4-06-512323-2,,418,4-06-394992-3,9784065123232,116764,S1,ふらいんぐうぃっち,7,,講談社,石塚千尋,週マガＫＣ,
34,4-06-516285-8,,417,4-06-394992-3,9784065162859,116764,S1,ふらいんぐうぃっち,8,,講談社,石塚千尋,週マガＫＣ,
35,4-06-519382-6,,416,4-06-394992-3,9784065193822,116764,S1,ふらいんぐうぃっち,9,,講談社,石塚千尋,週マガＫＣ,
36,4-06-523415-8,,415,4-06-394992-3,9784065234150,116764,S1,ふらいんぐうぃっち,10,,講談社,石塚千尋,週マガＫＣ,
37,4-06-528167-9,,414,4-06-394992-3,9784065281673,116764,S1,ふらいんぐうぃっち,11,,講談社,石塚千尋,週マガＫＣ,
38,4-06-531871-8,,413,4-06-394992-3,9784065318713,116764,S1,ふらいんぐうぃっち,12,,講談社,石塚千尋,週マガＫＣ,
39,4-06-535786-1,,412,4-06-394992-3,9784065357866,116764,S1,ふらいんぐうぃっち,13,,講談社,石塚千尋,週マガＫＣ,
40,4-06-539743-X,,411,4-06-394992-3,9784065397435,116764,S1,ふらいんぐうぃっち,14,,講談社,石塚千尋,週マガＫＣ,
41,4-09-123371-6,,319,4-09-123371-6,9784091233714,12896,S1,名探偵コナン,1,,小学館,青山剛昌,少年サンデーコミックス,
42,4-09-123372-4,,318,4-09-123371-6,9784091233721,12896,S1,名探偵コナン,2,,小学館,青山剛昌,少年サンデーコミックス,
43,4-09-123373-2,,317,4-09-123371-6,9784091233738,12896,S1,名探偵コナン,3,,小学館,青山剛昌,少年サンデーコミックス,
44,4-09-123374-0,,316,4-09-123371-6,9784091233745,12896,S1,名探偵コナン,4,,小学館,青山剛昌,少年サンデーコミックス,
45,4-09-123375-9,,315,4-09-123371-6,9784091233752,12896,S1,名探偵コナン,5,,小学館,青山剛昌,少年サンデーコミックス,
46,4-09-123376-7,,314,4-09-123371-6,9784091233769,12896,S1,名探偵コナン,6,,小学館,青山剛昌,少年サンデーコミックス,
47,4-09-123377-5,,313,4-09-123371-6,9784091233776,12896,S1,名探偵コナン,7,,小学館,青山剛昌,少年サンデーコミックス,
48,4-09-123378-3,,312,4-09-123371-6,9784091233783,12896,S1,名探偵コナン,8,,小学館,青山剛昌,少年サンデーコミックス,
49,4-09-123379-1,,311,4-09-123371-6,9784091233790,12896,S1,名探偵コナン,9,,小学館,青山剛昌,少年サンデーコミックス,
50,4-09-123380-5,,310,4-09-123371-6,9784091233806,12896,S1,名探偵コナン,10,,小学館,青山剛昌,少年サンデーコミックス,
51,4-09-125041-6,,309,4-09-123371-6,9784091250414,12896,S1,名探偵コナン,11,,小学館,青山剛昌,少年サンデーコミックス,
52,4-09-125042-4,,308,4-09-123371-6,9784091250421,12896,S1,名探偵コナン,12,,小学館,青山剛昌,少年サンデーコミックス,
53,4-09-125043-2,,307,4-09-123371-6,9784091250438,12896,S1,名探偵コナン,13,,小学館,青山剛昌,少年サンデーコミックス,
